,bed,bath,area,budget_guess,budget,local_street,local_ward,local_district,local_city
50,3,1,35.3,2.8922138183629214,4.0,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
51,4,3,69.8,9.260147887878434,8.2,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
52,12,12,77.8,15.835882149035,10.5,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
53,4,4,60.0,9.293263028640494,9.0,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
54,3,3,83.3,11.822344944008249,13.5,Đ.Bình Lợi,P.13,Q.Bình Thạnh,Hồ Chí Minh
55,2,2,51.5,7.126560934655908,6.5,Đ.Xô Viết Nghệ Tĩnh,P.25,Q.Bình Thạnh,Hồ Chí Minh
56,4,3,37.5,5.024881656145963,5.7,Đ.Xô Viết Nghệ Tĩnh,P.25,Q.Bình Thạnh,Hồ Chí Minh
57,6,7,43.4,9.486901522040181,7.9,Đ.Ung Văn Khiêm,P.25,Q.Bình Thạnh,Hồ Chí Minh
58,4,4,82.2,12.204189045496868,19.0,Đ.Điện Biên Phủ,P.25,Q.Bình Thạnh,Hồ Chí Minh
59,2,2,29.0,4.176298079733908,5.0,Đ.Xô Viết Nghệ Tĩnh,P.25,Q.Bình Thạnh,Hồ Chí Minh
60,2,3,22.5,4.642118439217862,6.9,Đ.D1,P.25,Q.Bình Thạnh,Hồ Chí Minh
61,3,4,74.9,12.039031995743237,12.2,Đ.Điện Biên Phủ,P.25,Q.Bình Thạnh,Hồ Chí Minh
62,2,2,37.5,5.290841824926663,8.2,Đ.Điện Biên Phủ,P.25,Q.Bình Thạnh,Hồ Chí Minh
